,exp_num,g_name,treatment,flow,date,group,replicate,sector_samp,median_dot,std_dot
0,0,No Treatment-UF,No Treatment,UF,51023,11,1,0,0.9455185755993167,0.2072862361196395
1,0,No Treatment-UF,No Treatment,UF,51023,11,1,1,0.9271838545667875,0.2365927711936813
2,0,No Treatment-UF,No Treatment,UF,51023,11,1,2,0.8386705679454239,0.27657137030277873
3,0,No Treatment-UF,No Treatment,UF,51023,11,1,3,0.9063077870366499,0.26392387205918955
4,1,No Treatment-DF,No Treatment,DF,51023,9,1,4,0.754709580222772,0.30392855090068954
5,1,No Treatment-DF,No Treatment,DF,51023,9,1,5,0.7771459614569708,0.3018393121798117
6,1,No Treatment-DF,No Treatment,DF,51023,9,1,6,0.754709580222772,0.30121559983348056
7,1,No Treatment-DF,No Treatment,DF,51023,9,1,7,0.7071067811865476,0.3085906733200759
8,2,No Treatment-Static,No Treatment,Static,51023,10,1,8,0.7071067811865476,0.30679270545338555
9,2,No Treatment-Static,No Treatment,Static,51023,10,1,9,0.7071067811865475,0.30764095005826125
10,2,No Treatment-Static,No Treatment,Static,51023,10,1,10,0.7071067811865475,0.30797461007623567
11,2,No Treatment-Static,No Treatment,Static,51023,10,1,11,0.7313537016191705,0.30781403654411843
12,3,No Treatment-DF,No Treatment,DF,5823,9,5,12,0.848048096156426,0.2827019597031977
13,3,No Treatment-DF,No Treatment,DF,5823,9,5,13,0.848048096156426,0.2732563192592333
14,3,No Treatment-DF,No Treatment,DF,5823,9,5,14,0.7547095802227719,0.31381267719008477
15,3,No Treatment-DF,No Treatment,DF,5823,9,5,15,0.8386705679454239,0.28252628492859394
16,4,No Treatment-Static,No Treatment,Static,5823,10,5,16,0.7771459614569708,0.29727710951040437
17,4,No Treatment-Static,No Treatment,Static,5823,10,5,17,0.7313537016191707,0.3039462016778971
18,4,No Treatment-Static,No Treatment,Static,5823,10,5,18,0.7431448254773942,0.2996129428399373
19,4,No Treatment-Static,No Treatment,Static,5823,10,5,19,0.7193398003386511,0.3112001378499708
20,5,No Treatment-UF,No Treatment,UF,5823,11,5,20,0.8191520442889919,0.28836752208481037
